start_time,end_time,enumerator_id,household_location,governorate,district,interview_status,consent_obtained,household_size,disabilities,disab,disab_other,head_household_legal_status,education_level,education_level_other,employment_status,employment_status_other,no_members_per_day,member_age[0],member_age[1],member_age[2],member_age[3],member_age[4],member_age[5],member_age[6],member_sex[0],member_sex[1],member_sex[2],member_sex[3],member_sex[4],member_sex[5],member_sex[6]
2025-06-11T11:15:15+03:00,2025-06-11T11:57:07+03:00,EN27,33.05833 35.63762 790 8.8,north,tripoli,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-24T16:10:24+03:00,2025-03-24T17:05:23+03:00,EN15,33.16591 35.96392 310 7.4,mount_lebanon,matn,complete,yes,1.0,no,,,registered refugee,secondary,,retired,,1,13.0,,,,,,,female,,,,,,
2025-03-24T14:09:26+03:00,2025-03-24T14:33:02+03:00,EN21,34.07301 35.62574 430 6.2,south,saida,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-28T14:07:10+03:00,2025-05-28T15:16:06+03:00,EN15,33.83083 36.07481 700 4.8,beirut,beirut_dist2,complete,yes,7.0,no,,,registered refugee,vocational,,retired,,3,84.0,73.0,14.0,89.0,24.0,66.0,19.0,male,male,female,male,male,female,female
2025-04-04T13:41:00+03:00,2025-04-04T14:40:12+03:00,EN10,34.02320 35.71456 562 9.2,beirut,beirut_dist1,complete,yes,4.0,no,,,Lebanese citizen,primary,,unemployed,,3,12.0,35.0,59.0,67.0,,,,male,female,female,female,,,
2025-05-04T10:43:09+03:00,2025-05-04T11:03:21+03:00,EN24,33.87713 36.29393 214 5.1,north,tripoli,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-12T15:13:05+03:00,2025-02-12T16:07:47+03:00,EN22,33.71243 36.24222 1365 6.4,beirut,beirut_dist1,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-07T14:07:08+03:00,2025-02-07T15:24:24+03:00,EN26,33.06486 36.35380 125 5.5,north,akkar,complete,yes,3.0,yes,other physical mental intellectual sensory multiple,Specific condition Rare disease,registered refugee,none,,unemployed,,1,56.0,34.0,61.0,,,,,female,female,male,,,,
2025-01-07T16:52:21+03:00,2025-01-07T18:16:53+03:00,EN19,34.01933 35.85457 1257 6.2,beirut,beirut_dist2,complete,yes,5.0,no,,,registered refugee,university,,unemployed,,3,66.0,74.0,40.0,45.0,74.0,,,male,female,male,female,male,,
2025-03-14T15:16:21+03:00,2025-03-14T15:48:16+03:00,EN29,33.93814 35.96421 1053 6.9,north,tripoli,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-14T13:35:03+03:00,2025-05-14T14:15:19+03:00,EN27,33.24526 36.39484 725 3.6,bekaa,baalbek,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-14T09:35:30+03:00,2025-05-14T10:29:15+03:00,EN28,33.50012 36.12524 799 4.1,south,saida,complete,yes,4.0,yes,multiple mental physical,,undocumented migrant,none,,unemployed,,3,61.0,30.0,86.0,54.0,,,,male,female,male,female,,,
2025-01-06T14:46:57+03:00,2025-01-06T16:09:19+03:00,EN23,33.06308 36.38805 742 5.8,north,tripoli,incomplete,yes,4.0,no,,,registered refugee,primary,,self_employed,,3,76.0,14.0,44.0,41.0,,,,male,female,male,female,,,
2025-02-08T12:43:17+03:00,2025-02-08T13:19:51+03:00,EN26,33.48941 35.82306 882 3.3,north,akkar,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-18T16:51:23+03:00,2025-05-18T17:10:35+03:00,EN23,34.05057 35.59963 1153 6.3,beirut,beirut_dist1,incomplete,yes,1.0,no,,,registered refugee,primary,,student,,1,64.0,,,,,,,male,,,,,,
2025-03-15T11:44:53+03:00,2025-03-15T12:22:48+03:00,EN16,33.31106 36.23226 1290 3.2,north,tripoli,incomplete,yes,3.0,no,,,registered refugee,vocational,,retired,,2,34.0,55.0,29.0,,,,,female,female,male,,,,
2025-02-06T10:27:54+03:00,2025-02-06T11:14:03+03:00,EN11,33.11306 36.43898 1256 8.4,bekaa,zahle,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-14T09:08:23+03:00,2025-04-14T09:24:49+03:00,EN10,33.13276 36.12451 1204 5.9,mount_lebanon,chouf,complete,yes,6.0,no,,,undocumented migrant,none,,unemployed,,2,40.0,16.0,64.0,76.0,56.0,23.0,,male,male,female,male,female,female,
2025-04-27T09:40:04+03:00,2025-04-27T10:56:21+03:00,EN29,33.94256 36.14285 175 5.5,beirut,beirut_dist2,refused,no,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-19T17:39:08+03:00,2025-01-19T18:23:32+03:00,EN23,33.60680 36.16806 909 8.0,beirut,beirut_dist1,complete,yes,1.0,no,,,registered refugee,other,Specialized training in Crafts,other,Freelancer in design,2,9.0,,,,,,,female,,,,,,
