start_time,end_time,enumerator_id,household_location,governorate,district,interview_status,consent_obtained,household_size,disabilities,disab,disab_other,head_household_legal_status,education_level,education_level_other,employment_status,employment_status_other,no_members_per_day,member_age[0],member_age[1],member_age[2],member_age[3],member_age[4],member_age[5],member_age[6],member_age[7],member_sex[0],member_sex[1],member_sex[2],member_sex[3],member_sex[4],member_sex[5],member_sex[6],member_sex[7]
2025-05-18T15:48:58+03:00,2025-05-18T16:38:54+03:00,EN24,33.97361 35.94296 784 4.8,south,tyre,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-24T10:45:04+03:00,2025-01-24T11:26:31+03:00,EN21,34.25590 35.86449 1429 5.6,north,tripoli,complete,yes,4.0,yes,other mental sensory intellectual multiple physical,Specific condition Rare disease,undocumented migrant,primary,,unemployed,,3,29.0,6.0,49.0,11.0,,,,,female,male,male,female,,,,
2025-06-08T09:15:46+03:00,2025-06-08T10:34:00+03:00,EN10,34.00566 35.98161 283 6.5,mount_lebanon,chouf,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25T16:59:19+03:00,2025-04-25T17:17:59+03:00,EN27,33.92409 36.05916 1239 9.7,north,akkar,complete,yes,3.0,yes,multiple physical mental intellectual sensory,,undocumented migrant,primary,,student,,1,28.0,88.0,17.0,,,,,,female,female,male,,,,,
2025-05-18T11:51:46+03:00,2025-05-18T12:43:27+03:00,EN27,34.01019 35.83594 997 3.9,mount_lebanon,chouf,incomplete,yes,8.0,no,,,Lebanese citizen,secondary,,other,Freelancer in design,3,21.0,17.0,68.0,85.0,38.0,3.0,42.0,16.0,female,male,male,female,female,male,male,male
2025-01-08T12:04:30+03:00,2025-01-08T12:59:31+03:00,EN28,33.74162 35.51422 651 3.1,south,saida,complete,yes,3.0,no,,,undocumented migrant,primary,,student,,3,49.0,61.0,3.0,,,,,,female,male,male,,,,,
2025-02-26T09:37:04+03:00,2025-02-26T10:01:23+03:00,EN29,33.31923 36.23782 1494 8.2,south,saida,complete,yes,6.0,yes,sensory other multiple,Specific condition Rare disease,registered refugee,none,,retired,,1,11.0,5.0,90.0,31.0,65.0,68.0,,,female,female,female,male,female,male,,
2025-05-08T09:22:42+03:00,2025-05-08T10:34:17+03:00,EN29,34.34180 36.49128 1099 8.0,mount_lebanon,chouf,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-17T16:29:13+03:00,2025-03-17T16:46:43+03:00,EN12,33.17127 36.28708 503 5.9,mount_lebanon,matn,incomplete,yes,8.0,no,,,undocumented migrant,other,Specialized training in IT,student,,3,87.0,63.0,17.0,35.0,38.0,78.0,41.0,29.0,male,male,male,female,male,female,male,male
2025-02-27T15:07:28+03:00,2025-02-27T16:12:26+03:00,EN23,33.05883 36.08935 361 7.9,mount_lebanon,matn,incomplete,yes,8.0,yes,physical multiple other,Specific condition Chronic pain,undocumented migrant,secondary,,self_employed,,1,76.0,2.0,74.0,29.0,60.0,17.0,4.0,6.0,female,female,female,male,female,female,male,female
2025-01-05T11:03:08+03:00,2025-01-05T11:32:41+03:00,EN25,33.44975 36.03126 805 4.7,south,saida,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-25T17:56:11+03:00,2025-03-25T19:01:28+03:00,EN29,33.02198 36.19713 446 6.7,bekaa,zahle,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-20T15:51:38+03:00,2025-05-20T16:43:51+03:00,EN24,33.49450 35.68671 1091 7.4,bekaa,zahle,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-11T11:47:11+03:00,2025-01-11T12:24:33+03:00,EN24,33.17025 36.30454 1421 6.4,mount_lebanon,chouf,incomplete,yes,6.0,yes,mental,,registered refugee,university,,unemployed,,3,86.0,60.0,16.0,33.0,36.0,59.0,,,female,female,female,male,male,male,,
2025-05-06T16:16:58+03:00,2025-05-06T16:33:00+03:00,EN30,33.45805 36.38662 1023 8.6,bekaa,zahle,incomplete,yes,6.0,no,,,registered refugee,secondary,,other,Freelancer in delivery,1,61.0,31.0,53.0,77.0,62.0,36.0,,,male,female,female,female,female,female,,
2025-03-22T10:00:42+03:00,2025-03-22T11:08:56+03:00,EN16,33.18606 36.03760 237 8.8,south,tyre,incomplete,yes,6.0,yes,intellectual sensory physical,,registered refugee,none,,self_employed,,3,34.0,31.0,52.0,25.0,17.0,1.0,,,female,male,male,female,male,male,,
2025-05-28T09:40:04+03:00,2025-05-28T10:51:11+03:00,EN28,33.28005 35.99209 847 6.3,mount_lebanon,chouf,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-06T14:25:08+03:00,2025-01-06T15:10:51+03:00,EN26,33.91989 36.16453 1109 6.2,south,saida,refused,no,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-06T11:20:04+03:00,2025-06-06T12:41:48+03:00,EN23,33.17401 36.06102 690 6.3,north,tripoli,complete,yes,5.0,yes,mental intellectual sensory,,undocumented migrant,none,,retired,,3,16.0,77.0,49.0,46.0,5.0,,,,male,male,male,female,male,,,
2025-04-23T14:22:16+03:00,2025-04-23T15:22:36+03:00,EN24,33.09706 35.71306 1038 5.4,north,akkar,complete,yes,5.0,yes,other sensory intellectual,Specific condition Chronic pain,registered refugee,none,,employed,,3,36.0,2.0,11.0,35.0,57.0,,,,male,male,female,female,female,,,
